Date;Open;High;Low;Close     ;Adj Close    ;Volume
Dec 13, 2024;12,350.00;12,600.00;12,300.00;12,400.00;12,400.00;4,504,900
Dec 12, 2024;12,550.00;12,600.00;12,350.00;12,400.00;12,400.00;3,455,300
Dec 11, 2024;12,500.00;12,650.00;12,300.00;12,500.00;12,500.00;5,801,200
Dec 10, 2024;12,650.00;12,700.00;12,350.00;12,450.00;12,450.00;7,015,600
Dec 9, 2024;12,000.00;12,700.00;11,900.00;12,600.00;12,600.00;30,059,700
Dec 6, 2024;11,750.00;12,200.00;11,700.00;11,900.00;11,900.00;10,685,300
Dec 5, 2024;11,500.00;11,800.00;11,400.00;11,700.00;11,700.00;4,989,800
Dec 4, 2024;11,800.00;11,800.00;11,400.00;11,400.00;11,400.00;7,987,500
Dec 3, 2024;11,800.00;11,800.00;11,600.00;11,800.00;11,800.00;2,717,200
Dec 2, 2024;11,950.00;12,100.00;11,600.00;11,650.00;11,650.00;5,835,600
Nov 29, 2024;12,000.00;12,050.00;11,800.00;11,950.00;11,950.00;6,785,900
Nov 28, 2024;11,800.00;12,100.00;11,750.00;11,950.00;11,950.00;5,818,200
Nov 27, 2024;12,150.00;12,150.00;11,750.00;11,750.00;11,750.00;7,253,600
Nov 26, 2024;12,150.00;12,150.00;11,900.00;12,150.00;12,150.00;5,540,400
Nov 25, 2024;11,700.00;12,100.00;11,600.00;12,100.00;12,100.00;5,322,600
Nov 22, 2024;11,650.00;12,300.00;11,550.00;11,700.00;11,700.00;12,987,100
Nov 21, 2024;11,650.00;11,750.00;11,500.00;11,650.00;11,650.00;2,550,700
Nov 20, 2024;11,350.00;11,850.00;11,350.00;11,650.00;11,650.00;12,855,400
Nov 19, 2024;11,300.00;11,750.00;11,300.00;11,400.00;11,400.00;5,815,600
Nov 18, 2024;11,900.00;11,900.00;11,300.00;11,400.00;11,400.00;7,684,500
Nov 15, 2024;11,750.00;11,950.00;11,650.00;11,800.00;11,800.00;6,331,300
Nov 14, 2024;11,400.00;12,050.00;11,250.00;11,750.00;11,750.00;17,860,500
Nov 13, 2024;11,200.00;11,600.00;11,100.00;11,300.00;11,300.00;10,121,700
Nov 12, 2024;10,500.00;11,200.00;10,500.00;11,200.00;11,200.00;26,376,800
Nov 11, 2024;10,350.00;10,500.00;10,300.00;10,500.00;10,500.00;5,119,700
Nov 8, 2024;10,450.00;10,450.00;10,350.00;10,350.00;10,350.00;4,251,000
Nov 7, 2024;10,550.00;10,550.00;10,400.00;10,400.00;10,400.00;2,874,300
Nov 6, 2024;10,400.00;10,450.00;10,300.00;10,450.00;10,450.00;3,478,300
Nov 4, 2024;10,350.00;10,500.00;10,300.00;10,300.00;10,300.00;3,395,400
Nov 1, 2024;10,350.00;10,400.00;10,250.00;10,250.00;10,250.00;2,116,000
Oct 31, 2024;10,300.00;10,450.00;10,300.00;10,350.00;10,350.00;1,926,600
Oct 29, 2024;10,300.00;10,350.00;10,200.00;10,200.00;10,200.00;1,735,400
Oct 28, 2024;10,300.00;10,300.00;10,050.00;10,150.00;10,150.00;4,326,700
Oct 25, 2024;10,600.00;10,600.00;10,150.00;10,150.00;10,150.00;12,734,100
Oct 24, 2024;10,750.00;10,850.00;10,550.00;10,550.00;10,550.00;5,553,000
Oct 23, 2024;10,600.00;10,750.00;10,450.00;10,700.00;10,700.00;4,258,600
Oct 22, 2024;10,600.00;10,650.00;10,450.00;10,500.00;10,500.00;4,015,000
Oct 21, 2024;10,600.00;10,750.00;10,600.00;10,600.00;10,600.00;2,417,700
Oct 18, 2024;10,900.00;10,900.00;10,600.00;10,600.00;10,600.00;3,507,100
Oct 17, 2024;10,800.00;10,900.00;10,550.00;10,800.00;10,800.00;6,511,000
Oct 16, 2024;11,000.00;11,000.00;10,750.00;10,800.00;10,800.00;3,596,300
Oct 15, 2024;11,000.00;11,250.00;10,850.00;11,000.00;11,000.00;8,557,000
Oct 14, 2024;11,050.00;11,100.00;10,950.00;11,000.00;11,000.00;3,982,600
Oct 11, 2024;11,100.00;11,100.00;10,900.00;11,000.00;11,000.00;2,257,900
Oct 10, 2024;11,150.00;11,350.00;11,000.00;11,000.00;11,000.00;7,196,100
Oct 9, 2024;11,000.00;11,150.00;11,000.00;11,050.00;11,050.00;4,254,400
Oct 8, 2024;11,000.00;11,050.00;10,900.00;10,900.00;10,900.00;3,394,400
Oct 7, 2024;11,250.00;11,250.00;10,850.00;10,900.00;10,900.00;4,969,500
Oct 4, 2024;10,550.00;11,250.00;10,550.00;11,200.00;11,200.00;17,235,800
Oct 3, 2024;10,900.00;11,050.00;10,550.00;10,550.00;10,550.00;7,803,200
Oct 2, 2024;11,000.00;11,100.00;10,850.00;10,900.00;10,900.00;4,701,400
Oct 1, 2024;10,850.00;11,150.00;10,750.00;11,150.00;11,150.00;11,912,400
Sep 30, 2024;10,650.00;10,850.00;10,600.00;10,850.00;10,850.00;5,613,800
Sep 27, 2024;10,750.00;10,750.00;10,600.00;10,650.00;10,650.00;5,319,800
Sep 26, 2024;10,650.00;11,000.00;10,650.00;10,650.00;10,650.00;6,559,100
Sep 25, 2024;10,600.00;10,750.00;10,550.00;10,650.00;10,650.00;6,068,600
Sep 24, 2024;10,500.00;10,600.00;10,400.00;10,500.00;10,500.00;2,143,400
Sep 23, 2024;10,500.00;10,600.00;10,400.00;10,400.00;10,400.00;4,318,900
Sep 20, 2024;10,600.00;10,750.00;10,600.00;10,700.00;10,700.00;5,093,400
Sep 19, 2024;10,600.00;10,750.00;10,550.00;10,550.00;10,550.00;2,747,800
Sep 18, 2024;10,500.00;10,750.00;10,450.00;10,550.00;10,550.00;4,179,000
Sep 17, 2024;10,400.00;10,450.00;10,250.00;10,450.00;10,450.00;2,842,100
Sep 16, 2024;10,500.00;10,600.00;10,350.00;10,350.00;10,350.00;2,563,800
Sep 13, 2024;10,450.00;10,500.00;10,300.00;10,450.00;10,450.00;3,451,300
Sep 12, 2024;10,650.00;10,700.00;10,450.00;10,450.00;10,450.00;2,295,500
Sep 11, 2024;10,700.00;10,700.00;10,400.00;10,600.00;10,600.00;3,895,900
Sep 10, 2024;10,450.00;10,900.00;10,400.00;10,650.00;10,650.00;9,858,900
Sep 9, 2024;10,300.00;10,400.00;10,150.00;10,400.00;10,400.00;2,800,800
Sep 6, 2024;10,250.00;10,350.00;10,100.00;10,250.00;10,250.00;3,617,900
Sep 5, 2024;10,400.00;10,400.00;10,100.00;10,200.00;10,200.00;4,305,800
Sep 4, 2024;10,500.00;10,500.00;10,100.00;10,250.00;10,250.00;10,391,600
Aug 30, 2024;10,800.00;10,850.00;10,650.00;10,650.00;10,650.00;5,985,800
Aug 29, 2024;11,050.00;11,050.00;10,750.00;10,850.00;10,850.00;5,913,300
Aug 28, 2024;10,550.00;11,200.00;10,500.00;11,000.00;11,000.00;27,355,900
Aug 26, 2024;10,500.00;10,700.00;10,400.00;10,450.00;10,450.00;5,014,100
Aug 23, 2024;10,450.00;10,550.00;10,350.00;10,400.00;10,400.00;6,078,800
Aug 22, 2024;10,700.00;10,700.00;10,500.00;10,500.00;10,500.00;3,186,400
Aug 21, 2024;10,600.00;10,700.00;10,500.00;10,700.00;10,700.00;4,596,500
Aug 20, 2024;10,650.00;10,850.00;10,550.00;10,600.00;10,600.00;6,993,900
Aug 19, 2024;10,550.00;10,650.00;10,400.00;10,500.00;10,500.00;4,150,900
Aug 16, 2024;10,250.00;10,500.00;10,150.00;10,400.00;10,400.00;6,564,100
Aug 15, 2024;10,050.00;10,300.00;10,000.00;10,050.00;10,050.00;5,039,500
Aug 14, 2024;10,450.00;10,550.00;9,950.00;10,050.00;10,050.00;14,587,500
Aug 13, 2024;10,600.00;10,600.00;10,450.00;10,450.00;10,450.00;3,190,600
Aug 12, 2024;10,500.00;10,750.00;10,450.00;10,500.00;10,500.00;4,153,100
Aug 9, 2024;10,800.00;10,800.00;10,300.00;10,450.00;10,450.00;12,243,300
Aug 8, 2024;11,600.00;11,600.00;10,750.00;10,750.00;10,750.00;35,405,400
Aug 7, 2024;11,850.00;11,900.00;11,550.00;11,550.00;11,550.00;5,992,700
Aug 6, 2024;11,700.00;11,850.00;11,600.00;11,850.00;11,850.00;4,435,200
Aug 5, 2024;11,750.00;12,000.00;11,500.00;11,600.00;11,600.00;9,815,300
Aug 2, 2024;11,750.00;12,150.00;11,700.00;12,100.00;12,100.00;6,196,800
Aug 1, 2024;12,150.00;12,200.00;11,800.00;11,800.00;11,800.00;7,333,200
Jul 31, 2024;12,400.00;12,500.00;12,100.00;12,150.00;12,150.00;9,188,800
Jul 30, 2024;12,400.00;12,400.00;12,100.00;12,150.00;12,150.00;4,421,400
Jul 29, 2024;11,950.00;12,500.00;11,850.00;12,400.00;12,400.00;13,036,400
Jul 26, 2024;11,750.00;12,150.00;11,750.00;12,050.00;12,050.00;9,029,700
Jul 25, 2024;11,700.00;11,850.00;11,600.00;11,750.00;11,750.00;2,677,800
Jul 24, 2024;11,600.00;11,850.00;11,400.00;11,850.00;11,850.00;8,779,500
Jul 23, 2024;11,950.00;12,000.00;11,600.00;11,600.00;11,600.00;4,964,200
Jul 22, 2024;11,800.00;12,050.00;11,600.00;11,950.00;11,950.00;11,324,500
Jul 19, 2024;12,350.00;12,400.00;11,950.00;11,950.00;11,950.00;6,528,700
Jul 18, 2024;11,850.00;12,350.00;11,800.00;12,350.00;12,350.00;11,117,900
Jul 17, 2024;12,050.00;12,200.00;11,800.00;11,850.00;11,850.00;10,222,200
Jul 16, 2024;12,050.00;12,150.00;11,950.00;12,050.00;12,050.00;4,466,100
Jul 15, 2024;12,300.00;12,350.00;12,050.00;12,050.00;12,050.00;2,520,600
Jul 12, 2024;12,100.00;12,450.00;12,000.00;12,200.00;12,200.00;11,474,100
Jul 11, 2024;12,050.00;12,150.00;11,850.00;12,050.00;12,050.00;4,637,900
Jul 10, 2024;12,000.00;12,150.00;11,950.00;12,000.00;12,000.00;4,415,600
Jul 9, 2024;11,750.00;12,100.00;11,700.00;11,950.00;11,950.00;11,169,000
Jul 8, 2024;12,000.00;12,050.00;11,800.00;11,800.00;11,800.00;5,450,800
Jul 5, 2024;12,350.00;12,450.00;11,850.00;11,950.00;11,950.00;14,800,900
Jul 4, 2024;12,300.00;12,400.00;12,200.00;12,350.00;12,350.00;6,524,100
Jul 3, 2024;12,400.00;12,400.00;12,200.00;12,250.00;12,250.00;3,426,040
Jul 2, 2024;12,400.00;12,450.00;12,250.00;12,300.00;12,300.00;3,588,700
Jul 1, 2024;12,200.00;12,350.00;12,050.00;12,200.00;12,200.00;4,915,400
Jun 28, 2024;12,500.00;12,550.00;12,000.00;12,100.00;12,100.00;9,755,100
Jun 27, 2024;12,700.00;12,700.00;12,400.00;12,450.00;12,450.00;4,265,900
Jun 26, 2024;12,600.00;12,700.00;12,450.00;12,700.00;12,700.00;4,451,500
Jun 25, 2024;12,700.00;12,700.00;12,450.00;12,500.00;12,500.00;5,258,100
Jun 24, 2024;12,400.00;12,900.00;12,200.00;12,600.00;12,600.00;16,048,600
Jun 21, 2024;12,550.00;12,700.00;12,400.00;12,400.00;12,400.00;7,354,800
Jun 20, 2024;12,850.00;13,000.00;12,450.00;12,550.00;12,550.00;16,203,000
Jun 19, 2024;13,550.00;13,600.00;12,750.00;12,800.00;12,800.00;27,674,400
Jun 18, 2024;13,450.00;13,650.00;13,400.00;13,600.00;13,600.00;4,543,600
Jun 17, 2024;13,350.00;13,450.00;13,150.00;13,400.00;13,400.00;6,765,100
Jun 14, 2024;13,900.00;14,000.00;13,300.00;13,300.00;13,300.00;33,596,600
Jun 13, 2024;14,200.00;14,250.00;13,850.00;13,950.00;13,950.00;11,627,000
Jun 12, 2024;14,200.00;14,400.00;14,000.00;14,200.00;14,200.00;5,746,100
Jun 11, 2024;14,100.00;14,200.00;13,700.00;14,200.00;14,200.00;15,705,500
Jun 10, 2024;14,500.00;14,600.00;13,950.00;14,000.00;14,000.00;17,101,200
Jun 7, 2024;14,400.00;14,600.00;14,300.00;14,400.00;14,400.00;6,778,500
Jun 6, 2024;14,400.00;14,500.00;14,100.00;14,300.00;14,300.00;7,415,300
Jun 5, 2024;14,500.00;14,500.00;14,200.00;14,250.00;14,250.00;10,717,700
Jun 4, 2024;15,050.00;15,100.00;14,400.00;14,400.00;14,400.00;21,604,000
