Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,25272.73,25772.73,25136.36,25590.91,25590.91,49693115.0
2023-08-15,25590.91,25681.82,25318.18,25409.09,25409.09,20131803.0
2023-08-16,25409.09,25454.54,25136.36,25409.09,25409.09,16494092.0
2023-08-17,25454.54,26090.91,25454.54,25545.46,25545.46,51987946.0
2023-08-18,25363.64,25454.54,23818.18,24090.91,24090.91,51037150.0
2023-08-21,24045.46,24136.36,23545.46,23818.18,23818.18,34629506.0
2023-08-22,23818.18,23954.54,22818.18,23772.73,23772.73,41297090.0
2023-08-23,23954.54,24045.46,23318.18,23318.18,23318.18,24038662.0
2023-08-24,23318.18,23909.09,23272.73,23909.09,23909.09,18300600.0
2023-08-25,23818.18,24000.0,23590.91,23590.91,23590.91,24066580.0
2023-08-28,23636.36,24409.09,23636.36,24409.09,24409.09,25426829.0
2023-08-29,24454.54,24681.82,24272.73,24545.46,24545.46,19800659.0
2023-08-30,24545.46,24772.73,24318.18,24727.27,24727.27,22483449.0
2023-08-31,24909.09,25363.64,24818.18,25090.91,25090.91,28527069.0
2023-09-05,25272.73,25409.09,24772.73,25272.73,25272.73,27062870.0
2023-09-06,25227.27,26363.64,24909.09,26363.64,26363.64,58283059.0
2023-09-07,26363.64,26636.36,25909.09,26045.46,26045.46,37392090.0
2023-09-08,25909.09,26500.0,25818.18,26136.36,26136.36,39540027.0
2023-09-11,26363.64,26409.09,25227.27,25454.54,25454.54,52467359.0
2023-09-12,25454.54,26136.36,25181.82,26136.36,26136.36,25075071.0
2023-09-13,26181.82,26727.27,25681.82,25818.18,25818.18,54189739.0
2023-09-14,25818.18,25954.54,25227.27,25272.73,25272.73,39740139.0
2023-09-15,25363.64,25545.46,25090.91,25090.91,25090.91,28325659.0
2023-09-18,25090.91,25545.46,24727.27,25090.91,25090.91,23365319.0
2023-09-19,25454.54,25590.91,25000.0,25590.91,25590.91,24236189.0
2023-09-20,25590.91,25954.54,25500.0,25818.18,25818.18,29548969.0
